default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,sex,personal_status,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
1,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,.. >= 7 years,4,male,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,1291,... < 100 DM,1 <= ... < 4 years,4,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,30,existing credits paid back duly till now,domestic appliances,2522,... < 100 DM,.. >= 7 years,1,male,single,guarantor,3,if not A121 : building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes
1,< 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
0,no checking account,6,existing credits paid back duly till now,domestic appliances,1595,... < 100 DM,4 <= ... < 7 years,3,male,single,none,2,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes
1,< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,.. >= 7 years,3,male,single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female,divorced,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes
0,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female,divorced,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes
0,no checking account,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,4,male,single,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,717,... < 100 DM,.. >= 7 years,4,male,single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes
0,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no
0,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1925,... < 100 DM,1 <= ... < 4 years,2,male,single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,unemployed,3,female,divorced,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes
0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,.. >= 1000 DM,4 <= ... < 7 years,3,female,divorced,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes
0,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,2251,... < 100 DM,1 <= ... < 4 years,1,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,female,divorced,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes
0,no checking account,24,delay in paying off in the past,radio/television,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,single,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2030,unknown/ no savings account,4 <= ... < 7 years,2,male,single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,7418,unknown/ no savings account,1 <= ... < 4 years,1,male,single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2684,... < 100 DM,1 <= ... < 4 years,4,male,single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes
1,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,2149,... < 100 DM,1 <= ... < 4 years,4,male,divorced,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes
0,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,11,critical account/ other credits existing (not at this bank),domestic appliances,1154,100 <= ... < 500 DM,unemployed,4,female,divorced,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes
0,< 0 DM,12,existing credits paid back duly till now,radio/television,1657,... < 100 DM,1 <= ... < 4 years,2,male,single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,.. >= 7 years,4,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,.. >= 7 years,2,male,single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2748,... < 100 DM,.. >= 7 years,2,female,divorced,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes
0,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,.. >= 7 years,3,male,single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no
1,0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,.. >= 7 years,4,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,none,yes
0,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,male,single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
0,no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year,4,female,divorced,none,3,"if not A121/A122 : car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,< 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,.. >= 7 years,1,male,divorced,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no
0,no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/ no savings account,.. >= 7 years,4,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
0,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,male,single,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male,single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
1,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male,single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes
1,< 0 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year,1,male,divorced,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
0,no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male,single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/ no savings account,.. >= 7 years,2,male,divorced,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year,1,female,divorced,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
0,no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,.. >= 1000 DM,.. >= 7 years,3,male,single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male,single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/ no savings account,4 <= ... < 7 years,4,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes
0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1520,unknown/ no savings account,.. >= 7 years,4,male,single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,< 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female,divorced,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
0,< 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male,single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes
0,0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male,single,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female,divorced,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,< 0 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year,4,male,married,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes
0,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male,married,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
1,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,male,married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,.. >= 7 years,2,female,divorced,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
0,>= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,.. >= 7 years,4,male,single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes
0,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,.. >= 7 years,4,male,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes
1,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year,1,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
0,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,.. >= 7 years,4,male,single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no
0,no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male,single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),radio/television,2745,.. >= 1000 DM,4 <= ... < 7 years,3,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female,divorced,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes
1,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female,divorced,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,>= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,male,single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes
0,< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male,single,co-applicant,3,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male,single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes
0,no checking account,6,existing credits paid back duly till now,radio/television,1543,.. >= 1000 DM,1 <= ... < 4 years,4,male,divorced,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes
0,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female,divorced,none,4,if not A121 : building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes
1,< 0 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year,4,male,married,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female,divorced,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male,married,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/ no savings account,unemployed,3,male,single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes
0,no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year,2,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male,married,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,male,single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no
1,< 0 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,.. >= 7 years,4,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,none,yes
0,< 0 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male,single,guarantor,3,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes
0,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/ no savings account,1 <= ... < 4 years,1,female,divorced,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),701,... < 100 DM,1 <= ... < 4 years,4,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,.. >= 7 years,1,female,divorced,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,4,male,married,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male,divorced,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
0,< 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male,single,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,< 0 DM,18,existing credits paid back duly till now,radio/television,2659,.. >= 1000 DM,1 <= ... < 4 years,4,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
0,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female,divorced,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes
0,< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male,single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,5801,unknown/ no savings account,.. >= 7 years,2,male,single,none,4,if not A121 : building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,24,existing credits paid back duly till now,car (new),1525,.. >= 1000 DM,4 <= ... < 7 years,4,female,divorced,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
0,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,.. >= 7 years,4,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,.. >= 7 years,4,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,none,yes
0,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,2,male,single,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
1,no checking account,18,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,divorced,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
1,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes
1,< 0 DM,24,no credits taken/ all credits paid back duly,radio/television,4110,... < 100 DM,.. >= 7 years,3,male,single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes
1,< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male,divorced,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female,divorced,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes
1,< 0 DM,15,existing credits paid back duly till now,repairs,1275,unknown/ no savings account,1 <= ... < 4 years,4,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
0,< 0 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male,single,none,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),5743,... < 100 DM,... < 1 year,2,female,divorced,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
0,< 0 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male,married,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,.. >= 7 years,1,male,single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,>= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male,single,guarantor,1,if not A121 : building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,none,yes
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes
0,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),domestic appliances,882,... < 100 DM,... < 1 year,4,male,single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female,divorced,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes
0,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male,single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes
1,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1136,.. >= 1000 DM,.. >= 7 years,4,male,single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes
0,no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year,1,female,divorced,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no
0,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male,single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
1,< 0 DM,12,no credits taken/ all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male,single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,10,existing credits paid back duly till now,(vacation - does not exist?),727,500 <= ... < 1000 DM,.. >= 7 years,4,male,single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male,single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,2331,unknown/ no savings account,.. >= 7 years,1,male,single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
0,no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male,married,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
1,< 0 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female,divorced,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes
0,0 <= ... < 200 DM,18,existing credits paid back duly till now,(vacation - does not exist?),1239,unknown/ no savings account,1 <= ... < 4 years,4,male,single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/ no savings account,.. >= 7 years,2,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
0,>= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
0,no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male,married,none,2,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes
1,< 0 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male,single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
0,no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,2,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
