TypeOfDewelling,BldgType,AbvGrndLivArea,Neighborhood,KitchenQual,NumGarageCars,YearBuilt,YearRemodAdd,ExterQual,LotArea,LotShape,Fireplaces,NumBathroom,Basement1Type,Basement1SurfaceArea,Basement2Type,Basement2SurfaceArea,TotalBasementArea,GarageArea,1stFlrArea,2ndFlrArea,Utilities,OverallQual,SalePrice
1-1/2 STORY FINISHED ALL AGES,OneFam,1577,BrkSide,Fair,1,1939,1950,Average,6435,Regular,1,1,Unfinshed,0,Unfinshed,0,972,312,972,605,AllUtilitiesAvl,6,140200
1-STORY 1946 & NEWER ALL STYLES,OneFam,958,NAmes,Average,1,1960,1998,Average,12772,SlightlyIrregular,0,1,BelowAverageLivingQuarters,498,Unfinshed,0,958,301,958,0,AllUtilitiesAvl,6,151500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1478,NAmes,Average,2,1960,1960,Average,17600,SlightlyIrregular,2,2,BelowAverageLivingQuarters,1270,Unfinshed,0,1478,498,1478,0,AllUtilitiesAvl,6,157500
2-STORY PUD - 1946 & NEWER,Twnhs,1626,NridgHt,Good,2,2003,2004,Good,2448,Regular,0,2,GoodLivingQuarters,573,Unfinshed,0,764,474,764,862,AllUtilitiesAvl,7,154000
2-STORY 1946 & NEWER,OneFam,2728,NridgHt,Excellent,3,2005,2006,Excellent,20431,ModeratelyIrregular,2,2,GoodLivingQuarters,1410,Unfinshed,0,1848,706,1848,880,AllUtilitiesAvl,9,437154
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1869,NridgHt,Excellent,2,2007,2007,Excellent,7820,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1869,617,1869,0,AllUtilitiesAvl,9,318061
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,OneFam,1453,ClearCr,Good,2,1986,1986,Average,5271,SlightlyIrregular,1,1,GoodLivingQuarters,1082,Unfinshed,0,1453,445,1453,0,AllUtilitiesAvl,7,190000
1-1/2 STORY FINISHED ALL AGES,OneFam,1111,Edwards,Average,1,1941,1950,Average,9084,Regular,0,1,LowQuality,236,AverageRecRoom,380,616,200,616,495,AllUtilitiesAvl,5,95000
1-STORY 1945 & OLDER,OneFam,720,OldTown,Average,2,1928,2003,Average,8520,Regular,0,1,Unfinshed,0,Unfinshed,0,624,484,720,0,AllUtilitiesAvl,6,105900
1-1/2 STORY FINISHED ALL AGES,OneFam,1595,SWISU,Average,1,1940,2000,Average,8400,Regular,2,1,LowQuality,388,Unfinshed,0,940,240,1192,403,AllUtilitiesAvl,6,140000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1200,CollgCr,Good,2,1995,1995,Good,11249,ModeratelyIrregular,0,2,AverageLivingQuarters,334,BelowAverageLivingQuarters,544,1200,521,1200,0,AllUtilitiesAvl,6,177500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1167,Gilbert,Good,2,1992,1992,Average,9248,SlightlyIrregular,0,2,GoodLivingQuarters,560,Unfinshed,0,1158,400,1167,0,AllUtilitiesAvl,6,173000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1142,MeadowV,Average,2,1976,1976,Average,4224,Regular,1,1,AverageLivingQuarters,874,Unfinshed,0,1142,528,1142,0,AllUtilitiesAvl,5,134000
SPLIT OR MULTI-LEVEL,OneFam,1352,ClearCr,Good,1,1958,1958,Average,6930,SlightlyIrregular,0,1,BelowAverageLivingQuarters,300,AverageRecRoom,294,1062,288,1352,0,AllUtilitiesAvl,5,130000
2-STORY 1946 & NEWER,OneFam,1924,NoRidge,Good,2,1998,1998,Good,12011,SlightlyIrregular,1,2,GoodLivingQuarters,956,Unfinshed,0,1086,592,1086,838,AllUtilitiesAvl,8,280000
SPLIT FOYER,OneFam,912,Mitchel,Average,2,1978,1978,Average,7540,SlightlyIrregular,1,1,GoodLivingQuarters,773,Unfinshed,0,888,470,912,0,AllUtilitiesAvl,6,156000
1-1/2 STORY FINISHED ALL AGES,OneFam,1505,BrkSide,Average,1,1940,1982,Average,9144,Regular,0,1,AverageRecRoom,399,Unfinshed,0,883,240,988,517,AllUtilitiesAvl,5,145000
SPLIT FOYER,OneFam,1922,Edwards,Good,2,2003,2003,Good,7301,Regular,1,3,,0,,0,0,672,495,1427,AllUtilitiesAvl,7,198500
2-STORY PUD - 1946 & NEWER,Twnhs,987,BrDale,Good,1,1972,2007,Average,1680,Regular,0,1,AverageLivingQuarters,162,Unfinshed,0,483,264,483,504,AllUtilitiesAvl,6,118000
2-STORY 1946 & NEWER,OneFam,1574,NWAmes,Average,2,1976,1976,Average,18800,SlightlyIrregular,1,2,GoodLivingQuarters,712,Unfinshed,0,796,566,790,784,AllUtilitiesAvl,6,190000
2-STORY 1945 & OLDER,OneFam,1344,IDOTRR,Average,1,1920,1997,Average,10690,Regular,0,1,AverageRecRoom,456,Unfinshed,0,672,468,672,672,AllUtilitiesAvl,5,147000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1394,NAmes,Average,2,1963,1963,Average,9500,SlightlyIrregular,2,1,BelowAverageLivingQuarters,609,Unfinshed,0,1394,514,1394,0,AllUtilitiesAvl,6,159000
SPLIT OR MULTI-LEVEL,OneFam,1431,NAmes,Average,1,1962,1962,Average,9150,SlightlyIrregular,1,1,GoodLivingQuarters,371,Unfinshed,0,1099,296,1431,0,AllUtilitiesAvl,6,165000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1268,NAmes,Average,1,1954,1954,Average,7800,Regular,1,1,LowQuality,540,Unfinshed,0,1268,244,1268,0,AllUtilitiesAvl,5,132000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1287,NAmes,Good,2,1959,2006,Average,9830,SlightlyIrregular,1,1,AverageLivingQuarters,72,AverageRecRoom,258,1063,576,1287,0,AllUtilitiesAvl,5,162000
2-STORY 1946 & NEWER,OneFam,1664,Gilbert,Average,2,2000,2000,Average,8121,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,953,460,953,711,AllUtilitiesAvl,6,172400
1-1/2 STORY FINISHED ALL AGES,OneFam,1588,ClearCr,Average,2,1959,1959,Average,17120,Regular,1,2,,0,,0,0,680,1120,468,AllUtilitiesAvl,4,134432
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,752,SawyerW,Average,1,1984,1984,Average,7175,Regular,0,1,AverageLivingQuarters,623,LowQuality,121,744,264,752,0,AllUtilitiesAvl,6,125000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1319,NAmes,Average,1,1953,1953,Average,10634,Regular,0,1,BelowAverageLivingQuarters,428,LowQuality,180,608,270,1319,0,AllUtilitiesAvl,5,123000
2-STORY 1946 & NEWER,OneFam,1928,CollgCr,Good,2,2003,2004,Good,8200,Regular,1,2,Unfinshed,0,Unfinshed,0,847,434,847,1081,AllUtilitiesAvl,7,219500
1-STORY 1945 & OLDER,OneFam,904,Edwards,Fair,0,1922,1950,Fair,10020,SlightlyIrregular,0,0,BelowAverageLivingQuarters,350,Unfinshed,0,683,0,904,0,AllUtilitiesAvl,1,61000
SPLIT FOYER,OneFam,914,CollgCr,Average,2,1996,1996,Good,8846,SlightlyIrregular,0,1,GoodLivingQuarters,298,Unfinshed,0,870,576,914,0,AllUtilitiesAvl,5,148000
2-STORY 1946 & NEWER,OneFam,2466,Somerst,Good,2,2004,2005,Good,11143,SlightlyIrregular,1,3,Unfinshed,0,Unfinshed,0,1580,610,1580,886,AllUtilitiesAvl,8,340000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1856,StoneBr,Excellent,3,2010,2010,Good,11394,Regular,1,1,GoodLivingQuarters,1445,Unfinshed,0,1856,834,1856,0,AllUtilitiesAvl,9,394432
2-STORY 1946 & NEWER,OneFam,1800,Gilbert,Average,2,2000,2000,Average,8123,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,982,463,1007,793,AllUtilitiesAvl,6,179000
1-1/2 STORY FINISHED ALL AGES,OneFam,1691,SWISU,Good,1,1924,1950,Average,5000,Regular,1,2,LowQuality,218,Unfinshed,0,1026,308,1026,665,AllUtilitiesAvl,5,127000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1301,Somerst,Good,2,2006,2006,Good,7200,Regular,1,2,Unfinshed,0,Unfinshed,0,1293,572,1301,0,AllUtilitiesAvl,7,187750
2-STORY 1946 & NEWER,OneFam,1797,CollgCr,Good,2,2006,2006,Good,9245,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,939,639,939,858,AllUtilitiesAvl,7,213500
1-1/2 STORY - UNFINISHED ALL AGES,OneFam,784,SawyerW,Average,2,1928,1950,Average,9000,Regular,0,1,Unfinshed,0,Unfinshed,0,784,360,784,0,AllUtilitiesAvl,6,76000
2-STORY 1946 & NEWER,OneFam,1953,ClearCr,Good,2,1992,1992,Good,53107,ModeratelyIrregular,2,2,GoodLivingQuarters,985,Unfinshed,0,1580,501,1079,874,AllUtilitiesAvl,6,240000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1269,Blmngtn,Good,2,2004,2005,Good,3182,Regular,1,2,GoodLivingQuarters,24,Unfinshed,0,1256,430,1269,0,AllUtilitiesAvl,8,192000
1-1/2 STORY FINISHED ALL AGES,OneFam,1184,Edwards,Average,0,1910,1996,Average,8410,Regular,0,1,Unfinshed,0,Unfinshed,0,658,0,658,526,AllUtilitiesAvl,5,81000
SPLIT OR MULTI-LEVEL,OneFam,1125,Edwards,Average,1,1976,1976,Average,7200,Regular,1,1,AverageLivingQuarters,631,Unfinshed,0,1041,352,1125,0,AllUtilitiesAvl,6,125000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1479,CollgCr,Good,2,1999,2000,Good,9382,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,1468,577,1479,0,AllUtilitiesAvl,7,191000
2-STORY 1946 & NEWER,OneFam,2332,NridgHt,Excellent,3,2007,2008,Excellent,12474,Regular,1,2,GoodLivingQuarters,1280,Unfinshed,0,1682,846,1742,590,AllUtilitiesAvl,10,426000
1-1/2 STORY FINISHED ALL AGES,OneFam,1367,Edwards,Average,1,1900,1950,Average,8405,Regular,0,1,AverageRecRoom,241,BelowAverageLivingQuarters,391,861,384,961,406,AllUtilitiesAvl,5,119000
2-STORY 1946 & NEWER,OneFam,1961,Mitchel,Good,2,2001,2002,Average,12209,SlightlyIrregular,1,2,AverageLivingQuarters,690,Unfinshed,0,804,560,804,1157,AllUtilitiesAvl,6,215000
1-STORY 1946 & NEWER ALL STYLES,OneFam,882,NAmes,Average,1,1959,1959,Average,8339,SlightlyIrregular,0,1,,0,,0,0,294,882,0,AllUtilitiesAvl,5,106500
1-STORY 1945 & OLDER,OneFam,788,BrkSide,Average,0,1941,1950,Average,7446,Regular,2,1,AverageRecRoom,266,Unfinshed,0,788,0,788,0,AllUtilitiesAvl,4,100000
1-1/2 STORY FINISHED ALL AGES,OneFam,1034,OldTown,Average,1,1940,1950,Average,10134,Regular,0,1,Unfinshed,0,Unfinshed,0,735,240,735,299,AllUtilitiesAvl,5,109000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1144,Edwards,Average,1,1956,1956,Average,9571,Regular,0,1,BelowAverageLivingQuarters,739,Unfinshed,0,1144,596,1144,0,AllUtilitiesAvl,5,129000
1-STORY 1946 & NEWER ALL STYLES,OneFam,894,CollgCr,Average,2,1972,1972,Average,7200,Regular,0,1,AverageRecRoom,777,Unfinshed,0,894,600,894,0,AllUtilitiesAvl,5,123000
2-STORY 1946 & NEWER,OneFam,1812,NAmes,Average,1,1962,1962,Average,7590,Regular,1,2,AverageLivingQuarters,540,Unfinshed,0,864,264,876,936,AllUtilitiesAvl,5,169500
1-STORY 1945 & OLDER,OneFam,1077,IDOTRR,Average,1,1920,1950,Average,8967,Regular,0,1,Unfinshed,0,Unfinshed,0,961,338,1077,0,AllUtilitiesAvl,5,67000
2-STORY 1946 & NEWER,OneFam,1550,Somerst,Good,2,2006,2007,Good,8125,Regular,0,2,GoodLivingQuarters,812,Unfinshed,0,1092,438,1112,438,AllUtilitiesAvl,7,241000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1288,Veenker,Excellent,2,1996,1996,Good,14963,ModeratelyIrregular,2,1,GoodLivingQuarters,786,Unfinshed,0,1260,500,1288,0,AllUtilitiesAvl,8,245500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1310,CollgCr,Good,2,2005,2005,Good,8767,SlightlyIrregular,1,2,GoodLivingQuarters,24,Unfinshed,0,1310,400,1310,0,AllUtilitiesAvl,7,164990
1-STORY 1945 & OLDER,OneFam,672,Sawyer,Average,1,1940,1997,Average,10200,Regular,0,1,Unfinshed,0,Unfinshed,0,672,240,672,0,AllUtilitiesAvl,5,108000
2-STORY 1946 & NEWER,OneFam,2263,NoRidge,Good,2,1998,1998,Good,12090,Regular,1,2,Unfinshed,0,Unfinshed,0,1141,420,1165,1098,AllUtilitiesAvl,8,258000
2-STORY 1946 & NEWER,OneFam,1572,Gilbert,Average,2,1995,1996,Average,10364,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,806,373,806,766,AllUtilitiesAvl,6,168000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1620,Sawyer,Average,2,1976,1993,Average,9991,SlightlyIrregular,1,2,BelowAverageLivingQuarters,1116,Unfinshed,0,1281,490,1620,0,AllUtilitiesAvl,4,150000
1-1/2 STORY FINISHED ALL AGES,OneFam,1639,SWISU,Average,1,1936,1950,Average,10480,Regular,0,1,Unfinshed,0,Unfinshed,0,1064,240,1166,0,AllUtilitiesAvl,6,115000
2-STORY 1945 & OLDER,OneFam,1680,Crawfor,Average,1,1915,1976,Average,15576,Regular,0,2,Unfinshed,0,Unfinshed,0,840,308,840,840,AllUtilitiesAvl,6,177000
2-STORY 1946 & NEWER,OneFam,2172,NridgHt,Good,3,2006,2006,Good,14154,Regular,1,2,Unfinshed,0,Unfinshed,0,1063,947,1071,1101,AllUtilitiesAvl,7,280000
2-STORY 1946 & NEWER,OneFam,2078,Somerst,Excellent,3,2007,2008,Good,10800,Regular,1,2,GoodLivingQuarters,789,Unfinshed,0,1034,836,1050,1028,AllUtilitiesAvl,8,339750
1-STORY 1946 & NEWER ALL STYLES,OneFam,1276,Edwards,Average,1,1958,1958,Average,9571,Regular,0,1,Unfinshed,0,Unfinshed,0,1276,350,1276,0,AllUtilitiesAvl,5,60000
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1056,Gilbert,Average,2,1955,1955,Average,34650,Regular,0,1,AverageRecRoom,1056,Unfinshed,0,1056,572,1056,0,AllUtilitiesAvl,5,145000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1478,Somerst,Good,2,2009,2009,Excellent,4403,ModeratelyIrregular,1,2,GoodLivingQuarters,578,Unfinshed,0,1470,484,1478,0,AllUtilitiesAvl,7,222000
1-STORY 1945 & OLDER,OneFam,1028,OldTown,Average,2,1927,1950,Average,8960,Regular,1,1,Unfinshed,0,Unfinshed,0,1008,360,1028,0,AllUtilitiesAvl,5,115000
2-STORY 1946 & NEWER,OneFam,2097,SawyerW,Good,3,1993,1993,Good,11228,ModeratelyIrregular,1,2,BelowAverageLivingQuarters,50,GoodLivingQuarters,531,1080,678,1080,1017,AllUtilitiesAvl,7,228000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1340,Gilbert,Good,2,2007,2007,Good,8899,SlightlyIrregular,0,2,GoodLivingQuarters,24,Unfinshed,0,1340,396,1340,0,AllUtilitiesAvl,7,181134
2-STORY 1946 & NEWER,OneFam,1400,Sawyer,Average,2,1978,1978,Average,7844,Regular,1,1,AverageLivingQuarters,209,Unfinshed,0,672,440,672,728,AllUtilitiesAvl,6,149500
2-STORY 1945 & OLDER,OneFam,2624,Crawfor,Average,3,1918,1950,Average,22420,SlightlyIrregular,1,2,BelowAverageLivingQuarters,1128,Unfinshed,0,1370,864,1370,1254,AllUtilitiesAvl,6,239000
1-1/2 STORY FINISHED ALL AGES,OneFam,1134,Edwards,Average,1,1940,1950,Average,8160,Regular,0,1,AverageLivingQuarters,312,Unfinshed,0,756,240,756,378,AllUtilitiesAvl,5,126000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1056,NAmes,Average,1,1968,1968,Average,8450,Regular,1,1,BelowAverageLivingQuarters,775,Unfinshed,0,1056,304,1056,0,AllUtilitiesAvl,5,142000
DUPLEX - ALL STYLES AND AGES,Duplex,1344,Mitchel,Average,4,1997,1998,Average,7060,Regular,0,2,GoodLivingQuarters,1309,Unfinshed,0,1344,784,1344,0,AllUtilitiesAvl,7,206300
1-STORY 1946 & NEWER ALL STYLES,OneFam,1602,NWAmes,Good,2,1977,2000,Good,16635,SlightlyIrregular,1,2,AverageLivingQuarters,1246,Unfinshed,0,1602,529,1602,0,AllUtilitiesAvl,6,215000
1-STORY 1946 & NEWER ALL STYLES,OneFam,988,Mitchel,Average,2,1954,1954,Average,21750,Regular,0,1,Unfinshed,0,Unfinshed,0,988,520,988,0,AllUtilitiesAvl,5,113000
2-STORY 1946 & NEWER,OneFam,2630,NoRidge,Good,3,1998,1998,Good,9200,Regular,1,2,GoodLivingQuarters,986,Unfinshed,0,1470,696,1470,1160,AllUtilitiesAvl,8,315000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1196,NAmes,Average,1,1956,1956,Average,9000,Regular,1,1,LowQuality,616,Unfinshed,0,1196,297,1196,0,AllUtilitiesAvl,6,139000
2-STORY 1946 & NEWER,OneFam,1389,OldTown,Average,1,1946,1992,Average,3378,Regular,2,1,Unfinshed,0,Unfinshed,0,651,240,707,682,AllUtilitiesAvl,7,135000
SPLIT OR MULTI-LEVEL,OneFam,1644,SawyerW,Good,2,1989,1989,Good,12800,Regular,1,2,GoodLivingQuarters,1518,Unfinshed,0,1518,569,1644,0,AllUtilitiesAvl,7,275000
1-STORY 1946 & NEWER ALL STYLES,OneFam,907,NAmes,Average,1,1957,1957,Average,8593,SlightlyIrregular,0,1,AverageRecRoom,288,Unfinshed,0,907,352,907,0,AllUtilitiesAvl,4,109008
1-STORY 1946 & NEWER ALL STYLES,OneFam,1208,CollgCr,Good,2,2007,2007,Good,6762,Regular,0,2,GoodLivingQuarters,664,Unfinshed,0,1208,628,1208,0,AllUtilitiesAvl,7,195400
1-STORY 1946 & NEWER ALL STYLES,OneFam,1412,Timber,Good,2,1988,1988,Average,11457,SlightlyIrregular,1,2,GoodLivingQuarters,1005,Unfinshed,0,1392,576,1412,0,AllUtilitiesAvl,6,175000
2-STORY PUD - 1946 & NEWER,Twnhs,987,BrDale,Average,1,1971,1971,Average,1680,Regular,0,1,AverageLivingQuarters,387,Unfinshed,0,483,264,483,504,AllUtilitiesAvl,6,85400
1-1/2 STORY FINISHED ALL AGES,OneFam,1198,OldTown,Average,0,1920,1998,Average,5586,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,901,0,1088,110,AllUtilitiesAvl,6,79900
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1365,BrDale,Average,2,1971,1971,Average,1920,Regular,0,1,AverageLivingQuarters,471,Unfinshed,0,765,440,765,600,AllUtilitiesAvl,5,122500
2-STORY 1946 & NEWER,OneFam,1604,Gilbert,Average,2,1997,1998,Average,10839,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,926,470,926,678,AllUtilitiesAvl,6,181000
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Twnhs,630,MeadowV,Average,0,1972,1972,Average,1890,Regular,0,1,AverageLivingQuarters,495,Unfinshed,0,630,0,630,0,AllUtilitiesAvl,4,81000
2-STORY 1946 & NEWER,OneFam,1661,CollgCr,Good,2,1996,1996,Good,10667,ModeratelyIrregular,1,2,GoodLivingQuarters,385,AverageLivingQuarters,344,799,550,827,834,AllUtilitiesAvl,7,212000
1-1/2 STORY FINISHED ALL AGES,OneFam,1118,OldTown,Average,2,1920,1950,Average,4400,Regular,0,1,Unfinshed,0,Unfinshed,0,648,440,734,384,AllUtilitiesAvl,6,116000
1-1/2 STORY - UNFINISHED ALL AGES,OneFam,904,BrkSide,Average,1,1926,2004,Good,6000,Regular,0,1,Unfinshed,0,Unfinshed,0,884,180,904,0,AllUtilitiesAvl,6,119000
1-STORY 1945 & OLDER,OneFam,694,Crawfor,Good,1,1913,2002,Average,4280,Regular,1,1,LowQuality,365,Unfinshed,0,440,352,694,0,AllUtilitiesAvl,5,90350
1-1/2 STORY FINISHED ALL AGES,OneFam,1196,Edwards,Good,2,1920,2000,Average,12354,Regular,0,1,Unfinshed,0,Unfinshed,0,684,528,684,512,AllUtilitiesAvl,6,110000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2402,NridgHt,Excellent,3,2008,2008,Excellent,15431,Regular,2,2,GoodLivingQuarters,1767,AverageLivingQuarters,539,3094,672,2402,0,AllUtilitiesAvl,10,555000
DUPLEX - ALL STYLES AND AGES,Duplex,1440,Edwards,Fair,0,1955,1955,Average,12108,Regular,0,2,AverageLivingQuarters,133,Unfinshed,0,1440,0,1440,0,AllUtilitiesAvl,4,118000
1-1/2 STORY FINISHED ALL AGES,OneFam,1573,BrkSide,Average,2,1930,1992,Average,6240,Regular,1,2,Unfinshed,0,Unfinshed,0,1078,360,1128,445,AllUtilitiesAvl,5,162900
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1258,Blmngtn,Good,3,2006,2007,Good,3922,Regular,1,2,Unfinshed,0,Unfinshed,0,1258,648,1258,0,AllUtilitiesAvl,7,172500
2-STORY 1946 & NEWER,OneFam,1908,CollgCr,Good,2,1994,1995,Good,8750,Regular,1,2,GoodLivingQuarters,642,Unfinshed,0,915,493,933,975,AllUtilitiesAvl,7,210000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1689,Edwards,Average,2,1956,1956,Average,9855,Regular,1,1,Unfinshed,0,Unfinshed,0,1436,480,1689,0,AllUtilitiesAvl,6,127500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1888,NAmes,Good,2,1966,2002,Good,16492,SlightlyIrregular,1,2,AverageLivingQuarters,247,AverageRecRoom,713,1517,578,1888,0,AllUtilitiesAvl,6,190000
2-STORY 1946 & NEWER,OneFam,1886,Gilbert,Good,2,1998,1999,Good,11214,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,930,431,956,930,AllUtilitiesAvl,7,199900
1-1/2 STORY FINISHED ALL AGES,OneFam,1376,IDOTRR,Average,1,1937,1950,Average,8600,Regular,1,2,Unfinshed,0,Unfinshed,0,780,198,780,596,AllUtilitiesAvl,6,119500
1-1/2 STORY FINISHED ALL AGES,OneFam,1183,OldTown,Average,1,1948,2002,Average,6000,Regular,0,1,AverageLivingQuarters,331,Unfinshed,0,649,308,679,504,AllUtilitiesAvl,3,120000
1-STORY 1945 & OLDER,OneFam,813,OldTown,Good,1,1930,2005,Average,5684,Regular,0,1,Unfinshed,0,Unfinshed,0,813,270,813,0,AllUtilitiesAvl,6,110000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1533,ClearCr,Good,2,1975,1975,Average,70761,SlightlyIrregular,2,2,AverageLivingQuarters,655,Unfinshed,0,1533,576,1533,0,AllUtilitiesAvl,7,280000
2-STORY 1946 & NEWER,OneFam,1756,Timber,Average,2,1996,1997,Good,9303,SlightlyIrregular,0,2,AverageLivingQuarters,742,Unfinshed,0,872,422,888,868,AllUtilitiesAvl,6,204000
2-STORY 1946 & NEWER,OneFam,1590,Somerst,Good,2,2008,2008,Good,9000,Regular,0,2,Unfinshed,0,Unfinshed,0,768,676,786,804,AllUtilitiesAvl,8,210000
DUPLEX - ALL STYLES AND AGES,Duplex,1728,Mitchel,Average,2,1976,1976,Average,9297,Regular,0,2,AverageLivingQuarters,1606,Unfinshed,0,1728,560,1728,0,AllUtilitiesAvl,5,188000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1242,NWAmes,Average,2,1973,1973,Average,9600,Regular,1,1,AverageLivingQuarters,916,Unfinshed,0,1242,528,1242,0,AllUtilitiesAvl,7,175500
2-STORY 1945 & OLDER,OneFam,1344,OldTown,Average,3,1916,1950,Average,4571,Regular,0,1,Unfinshed,0,Unfinshed,0,624,513,624,720,AllUtilitiesAvl,5,98000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1663,ClearCr,Good,2,1954,1994,Average,53227,SlightlyIrregular,2,1,BelowAverageLivingQuarters,1116,Unfinshed,0,1364,529,1663,0,AllUtilitiesAvl,4,256000
2-STORY 1945 & OLDER,OneFam,1666,OldTown,Good,1,1925,1996,Average,5100,Regular,1,1,Unfinshed,0,Unfinshed,0,588,228,833,833,AllUtilitiesAvl,8,161000
1-1/2 STORY FINISHED ALL AGES,OneFam,1203,BrkSide,Good,1,1950,1950,Average,7015,SlightlyIrregular,1,1,LowQuality,185,Unfinshed,0,709,352,979,224,AllUtilitiesAvl,5,110000
2-STORY 1946 & NEWER,OneFam,1935,Somerst,Average,2,2009,2009,Good,8004,SlightlyIrregular,0,2,GoodLivingQuarters,544,Unfinshed,0,832,552,832,1103,AllUtilitiesAvl,8,263435
2-STORY 1945 & OLDER,OneFam,1135,SWISU,Good,2,1936,2007,Good,7200,Regular,0,1,AverageLivingQuarters,350,BelowAverageLivingQuarters,210,560,576,575,560,AllUtilitiesAvl,7,155000
1-STORY 1946 & NEWER ALL STYLES,OneFam,864,Sawyer,Average,1,1965,1965,Average,8281,SlightlyIrregular,1,1,AverageRecRoom,553,BelowAverageLivingQuarters,311,864,360,864,0,AllUtilitiesAvl,5,62383
2-STORY 1945 & OLDER,OneFam,1660,Crawfor,Average,1,1934,1995,Average,11988,SlightlyIrregular,1,1,LowQuality,326,Unfinshed,0,715,240,849,811,AllUtilitiesAvl,6,188700
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,CollgCr,Average,0,1978,1978,Average,8430,Regular,0,2,AverageRecRoom,616,Unfinshed,0,1040,0,1040,0,AllUtilitiesAvl,5,124000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1414,Blmngtn,Good,2,2004,2004,Good,3072,Regular,1,2,Unfinshed,0,Unfinshed,0,1375,398,1414,0,AllUtilitiesAvl,7,178740
1-STORY 1946 & NEWER ALL STYLES,OneFam,1277,NAmes,Average,2,1970,1970,Average,10628,Regular,1,1,GoodLivingQuarters,778,Unfinshed,0,1277,526,1277,0,AllUtilitiesAvl,7,167000
2-STORY 1945 & OLDER,OneFam,1644,NAmes,Good,1,1942,1995,Average,9480,Regular,2,1,LowQuality,386,Unfinshed,0,728,312,888,756,AllUtilitiesAvl,5,146500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1634,NridgHt,Good,3,2006,2006,Good,11428,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1626,866,1634,0,AllUtilitiesAvl,8,250000
2-STORY 1946 & NEWER,OneFam,1710,SawyerW,Good,2,1993,1993,Good,9291,SlightlyIrregular,0,2,GoodLivingQuarters,426,Unfinshed,0,832,506,832,878,AllUtilitiesAvl,6,187000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1502,StoneBr,Good,2,1985,1985,Good,6820,SlightlyIrregular,0,1,GoodLivingQuarters,368,BelowAverageLivingQuarters,1120,1488,528,1502,0,AllUtilitiesAvl,8,212000
2-STORY 1946 & NEWER,OneFam,1969,NWAmes,Average,2,1977,1977,Average,11952,Regular,1,2,Unfinshed,0,Unfinshed,0,808,534,1161,808,AllUtilitiesAvl,7,190000
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,TownhouseEndUnit,1072,Edwards,Average,2,2005,2005,Average,3675,Regular,0,1,GoodLivingQuarters,459,Unfinshed,0,547,525,1072,0,AllUtilitiesAvl,6,148000
